Modified:,2025,,,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,,,
Title,Metta Retreat,,,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,,,
Code,Metta2008,,,,,,,,,,,,,,,,,,,,
Series,Other retreats,,,,,,,,,,,,,,,,,,,,
Venue,Padmasambhava Peace Institute,,,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,,,
Start date,08/09/2008,,,,,,,,,,,,,,,,,,,,
End date,14/09/2008,,,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,,,
Tags,Goodwill,,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/APasannoRetreats/2008%20Metta%20Retreat/Index.html,,,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,,,
Sessions,5,,,,,,,,,,,,,,,,,,,,
Excerpts,70,,,,,,,,,,,,,,,,,,,,
Tags applied,630,,,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,,,
Duration,5:45:11,,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,,,
1,09/09/2008,Day 2 eve - Questions and Answers 1.mp3,58:21,AP,,https://www.abhayagiri.org/media/discs/APasannoRetreats/2008%20Metta%20Retreat/Day%202%20eve%20-%20Questions%20and%20Answers%201.mp3,7,,,,,3501,,,,,,,,,
2,10/09/2008,Day 3 eve - Questions and Answers 2.mp3,56:14,AP,,https://www.abhayagiri.org/media/discs/APasannoRetreats/2008%20Metta%20Retreat/Day%203%20eve%20-%20Questions%20and%20Answers%202.mp3,12,,,,,3374,,,,,,,,,
3,11/09/2008,Day 4 eve - Questions and Answers 3.mp3,1:02:47,AP,,https://www.abhayagiri.org/media/discs/APasannoRetreats/2008%20Metta%20Retreat/Day%204%20eve%20-%20Questions%20and%20Answers%203.mp3,14,,,,,3767,,,,,,,,,
4,12/09/2008,Day 5 eve - Questions and Answers 4.mp3,1:42:29,AP,,https://www.abhayagiri.org/media/discs/APasannoRetreats/2008%20Metta%20Retreat/Day%205%20eve%20-%20Questions%20and%20Answers%204.mp3,20,,,,,6149,,,,,,,,,
5,13/09/2008,Day 6 eve - Questions and Answers 5.mp3,1:05:20,AP,,https://www.abhayagiri.org/media/discs/APasannoRetreats/2008%20Metta%20Retreat/Day%206%20eve%20-%20Questions%20and%20Answers%205.mp3,17,,,,,3920,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,ATag6,ATag7,Off topic?,Exclude?,FTags,FTagOrder
1,Quote,,0:12,0:24,It looks like there's a veritable blizzard of questions. That's always encouraging.,,Questions,,,,,,,,,,,,,,
1,,,0:24,6:45,Can you speak a little about samatha/vipassana and explain the difference between serenity and equanimity?,,Calming meditation,Insight meditation,Equanimity,,Commentaries,Ajahn Chah,Relinquishment,Liberation,Concentration,,,,,,
1,Extra tags,,,,,,,,,,Divine Abidings,Factors of Awakening,Discernment,,,,,,,,
1,Indirect quote,,,,Samatha-vipassanā is like a green mango and a ripe mango. Same mango.|Ajahn Chah,,Ajahn Chah,Calming meditation,Insight meditation,Similes,,,,,,,,,,,
1,,,7:18,24:28,Could you please explain about the death process…how quickly does rebirth occur?,,Death,Rebirth,,,Recollection/Death,Delusion,Self-identity view,Recollection,Impermanence,,,,,Death,150
1,Extra tags,,,,,,,,,,Not-self,Theravāda,History/Early Buddhism,Sutta,Vajrayāna,,,,,,
1,Extra tags,,,,,,,,,,Clinging,Culture/Thailand,Chanting,Goodwill,Relinquishment,,,,,,
1,Extra tags,,,,,,,,,,Ceremony/ritual,Kamma,,,,,,,,,
1,Reference,s,,,Chanting Book p. 55: Five Recollections; Chanting Book p. 12: The body is impermanent...,,Similes,Craving,Rebirth,,,,,,,,,,,,
1,Simile,,,,Fire blown by the wind (MN 72: Aggivacchagotta Sutta),,,,,,,,,,,,,,,,
1,Story,,,,A former monk asks Ajahn Chah about working with dying people to give them the opportunity for wholesome rebirth.,,Ajahn Chah,Death,Teachers,Rebirth,Fierce/direct teaching,,,,,,,,,,
1,Indirect quote,,,,I practice dying.|The Dalai Lama,,Dalai Lama,Recollection/Death,,,,,,,,,,,,,
1,,,25:00,37:30,"As a guilt-ridden American, how do you respond to personal mistakes without guilt?",,Guilt/shame/inadequacy,Culture/West,Great disciples,,Saṅgha,Conscience and prudence,Pāli,Skillful qualities,Self-identity view,,,,,,
1,Extra tags,,,,,,,,,,Respect,Perception,Virtue,Buddha,,,,,,,
1,Extra tags,,,,,,,,,,,,,,,,,,,,
1,Story,,,,A monk falsely accuses Sāriputta (AN 9.11).,,Great disciples,Forgiveness,,,,,,,,,,,,,
1,,,37:38,41:00,How would you describe the jhana states and do you teach this kind of meditation?,,Jhāna,Ajahn Pasanno,,,Concentration,Energy,Clear comprehension,Knowledge and vision,Ajahn Chah,,,,,,
1,Extra tags,,,,,,,,,,Relinquishment,Craving,Conceit,,,,,,,,
1,,,41:23,50:55,"When there is a lot of pain in the body, it is difficult to maintain 'right effort,' yet sometimes through patient endurance the pain lessens or dissipates. Could you speak about right effort and the connection between right effort and samadhi?",,Pain,Right Effort,Patience,Concentration,Skillful qualities,Unskillful qualities,Fear,Aversion,Discernment,Naturalness,,,,Pain,150
1,Recollection,,,,Ajahn Pasanno learned from pain and illness in his early monastic life.,,Ajahn Pasanno,Pain,Sickness,Monastic life,,,,,,,,,,,
1,,,51:15,57:57,What is loving kindness? What is the body and mind’s experience when I feel metta for myself and others?,,Goodwill,,,,Idealism,Culture/West,Right Intention,Aversion,Thai,Happiness,Translation,,,,
1,Extra tags,,,,,,,,,,Bhante Gunaratana,Tranquility,Spaciousness,,,,,,,,
1,Quote,,,,The base of loving-kindness is dwelling in non-aversion.,,Goodwill,Aversion,,,,,,,,,,,,,
1,Quote,,58:00,,"I appreciate people's questions. I enjoy the questions, and I never quite know what's going to come out when people present a question. It's interesting to me as well.",,Questions,Ajahn Pasanno,,,,,,,,,,,,Questions,70
2,,,0:24,5:01,"For me there appears to be a fine line between attention to the breath and controlling the breath. Is it like with quantum physics, just being aware changes the phenomena?",,Mindfulness of breathing,Volition,Science,Present moment awareness,Conditionality,Relinquishment,Restlessness and worry,Right Effort,,,,,,,
2,,,5:18,11:46,"What happens when someone carefully builds the fire, but it turns into a forest fire–uncontrollable–and the person experiences mania, delusions, and paranoia? What is the spiritual treatment?",,Mental illness,Delusion,,,Precepts,Association with people of integrity,Generosity,Becoming,Medicinal requisites,Thai,Work,,,,
2,Quote,,,,One of the first spiritual treatments is to get them to stop meditating.,,Mental illness,Meditation,,,,,,,,,,,,,
2,Recollection,,,,Ajahn Pasanno learned by experience that meditation is not a panacea.,,Ajahn Pasanno,Meditation,Mental illness,Wat Pah Nanachat,,,,,,,,,,,
2,,C,11:57,14:24,What is the definition of wholesome? The word for me connotes the 50's era of Ozzie and Harriet.,,Skillful qualities,Culture/West,,,Pāli,Happiness,Tranquility,Unwholesome Roots,,,,,,Skillful qualities,100
2,,,14:36,24:51,"If one were to become a monastic at Abhayagiri, how would one go about it? What are the day-to-day activities of a monk? What do I need to know and consider before making such a commitment?",,Monastic life,Abhayagiri,Monastic routine,,Sequence of training,Saṅgha decision making,Mentoring,Robes,Ajahn Kaccāna,,,,,,
2,,,24:56,26:21,How will I know if I’m experiencing loving-kindness?,,Goodwill,,,,Right Intention,Aversion,,,,,,,,,
2,,,26:31,31:04,Please explain how to cultivate muditā. I've heard it described as 'poor man's happiness.',,Empathetic joy,Happiness,,,Divine Abidings,Jealousy,Selfishness,,,,,,,,
2,,,31:11,33:40,What is the difference between tanha and lobha?,,Craving,Greed,,,Pāli,Desire,Cause of Suffering,,,,,,,,
2,,,33:50,36:00,What does 'non-contention' mean?,,Non-contention,,,,Aversion,Fear,,,,,,,,,
2,,,36:14,43:33,Could you talk more about working with the hindrance of doubt?,,Doubt,,,,Fear,Aversion,Sensual desire,Mindfulness of body,Tranquility,Mindfulness of feeling,Right Speech,,,Doubt,110
2,Extra tags,,,,,,,,,,Delusion,,,,,,,,,,
2,Simile,,,,A dish of muddy water placed in a dark cupboard (SN 46.55).,,Doubt,Similes,,,,,,,,,,,,,
2,,,44:43,53:55,I have an ongoing problem with certain vibrations. Here the most problematic is the recording device. The trunk of my body feels like it is vibrating.... Any suggestions would be most gratefully received.,,Meditation/Unusual experiences,Technology,,,Mindfulness of body,Aversion,Feeling,Goodwill,Worldly Conditions,Relinquishment,,,,,
2,Fragment,r,6:19,8:13,,,,,,,,,,,,,,,,,
2,Recollection,,,,"Ajahn Chah was this peaceful, happy presence in the center of the universe. Things happened around him all the time...and Ajahn Chah was always happy. You realize that that's really possible in the human condition.",,Ajahn Chah,Happiness,Worldly Conditions,Faith,Disrobing,Human,,,,,,,,Ajahn Chah,80
2,,,54:08,,Please repeat the metta phrases you taught yesterday and today.,,Goodwill,,,,Learning,Mantra,,,,,,,,,
3,,,0:49,6:17,"One of my lay insight mediation teachers said, 'The Western lay practitioner is an experiment in Buddhism.' What do you think? To me it seems our lay teachers are also an experiment.",,Culture/West,Lay life,Lay teachers,,Monastic life,Abhayagiri,Sīladharā,Culture/Thailand,,,,,,,
3,Quote,,,,"Because the monastic presence is so strong in Asia, oftentimes people overlook the strength of the tradition of lay practice and lay teachers.",,Monastic life,Lay life,Lay teachers,Cultural context,,,,,,,,,,,
3,Story,,,,The Buddha tells Māra he will found the fourfold assembly (UD 6.1).,,Buddha/Biography,Māra,Fourfold Assembly,Stages of awakening,Learning,Monastic life,Lay life,,,,,,,,
3,,,7:18,10:48,"This is a common scenario: I’m caught in a story of praise and blame. I notice. A voice says, 'That was very quick. You’re getting good at this.' I wake up again. 'Ah, I know you Mara….' Mara seems to co-opt every moment of awakening to feed the ego. Is there something you can suggest?",,Blame and praise,Māra,Liberation,Self-identity view,Impermanence,Mindfulness of dhammas,Not-self,Aggregates,Dependent origination,Knowing itself,,,,,
3,Extra tags,,,,,,Patience,,,,,,,,,,,,,,
3,Quote,,,,It's really hard to underestimate how important patient endurance is to the practice.,,Patience,,,,,,,,,,,,,,
3,,,11:05,13:21,The lovingkindness chant includes 'May I abide in freedom from affliction.' Why is affliction not included in the wish for all beings?,,Goodwill,Chanting,,,Divine Abidings,Compassion,,,,,,,,,
3,Reference,,,,Chanting Book p. 41.,,,,,,,,,,,,,,,,
3,,,14:05,17:58,"When we have a retreat work period that requires us to leave a sitting after 15 or 30 minutes, should we come to the meditation hall and leave early or just practice elsewhere for that period?",,Meditation retreats,Work,,,Abhayagiri,Posture/Walking,Posture/Sitting,,,,,,,,
3,Story,,,,A good doorknob.,,Building projects,Abhayagiri,,,,,,,,,,,,,
3,,,18:06,20:48,"This morning, you spoke about bringing to mind the metta nimitta. I have some understanding of the feeling of metta, but no understanding of the metta nimitta. Could you explain more fully?",,Goodwill,Nimitta,,,Mindfulness of breathing,Emotion,,,,,,,,,
3,,,21:12,30:40,"Can you speak about working with fear and loss of ego identity, fear, and death?",,Fear,Self-identity view,Death,,Goodwill,Aggregates,Impermanence,Delusion,Faith,Eightfold Path,Perfections,,,,
3,Extra tags,,,,,,,,,,Recollection,,,,,,,,,,
3,Reference,,,,[Description of dukkha](Chanting Book p. 11).,,Suffering,,,,,,,,,,,,,,
3,Indirect quote,,,,We respond to teachings on liberation and Nibbāna with a curious sense of fear and trepidation.|Ajahn Mahā Boowa speaking about Ajahn Mun,,Ajahn Mahā Boowa,Ajahn Mun,Liberation,Nibbāna,Fear,Family,Clinging,,,,,,,,
3,,,30:49,33:48,Could you talk about opportunities for women who wish to practice in the monastic tradition?,,Women's monastic forms,,,,Ajahn Chah lineage,Sīladharā,Ayya Tāthalokā,Culture/West,,,,,,,
3,,,33:57,39:47,I’m not sure in the context of this retreat when to be resting simply with the four foundations of mindfulness and when to be reciting metta phrases. Can you please advise as to how/when to skillfully move from one practice to the other?,,Right Mindfulness,Goodwill,Mantra,,Emotion,Sloth and torpor,Mindfulness of body,Calming meditation,Discernment,,,,,,
3,Sutta,,,,MN 19: Dvedhāvitakka Sutta,,Directed thought and evaluation,Skillful qualities,,,,,,,,,,,,,
3,,,40:27,42:06,It seems that metta would be much easier without a self to protect. How does one realize anatta?,,Goodwill,Not-self,Self-identity view,,Progress of insight,,,,,,,,,,
3,,,42:15,48:19,What is upekkha – equanimity – and how does one practice it?,,Equanimity,,,,Kamma,Conditionality,Not-self,Proliferation,Divine Abidings,Knowledge and vision,Impermanence,,,,
3,Reference,,,,Chanting Book p. 55: Five Recollections,,Kamma,,,,,,,,,,,,,,
3,,,48:22,50:19,What is the most fun part about being a monk?,,Monastic life,Happiness,,,Association with people of integrity,,,,,,,,,,
3,,,50:25,54:04,"What does it mean – the four pairs, the eight kinds of noble beings – in the recollection of the Sangha?",,Recollection/Saṅgha,Chanting,Stages of awakening,,Commentaries,,,,,,,,,,
3,Reference,,,,Chanting Book p. 27: Recollection of the Saṅgha,,,,,,,,,,,,,,,,
3,,,54:15,56:47,What are the general Theravada monastic communities thought on S. N. Goenka’s mediation techniques and vipassana centers?,,Theravāda,S. N. Goenka,Meditation/Techniques,Meditation retreats,Calming meditation,Generosity,Dhamma,,,,,,,,
3,,,57:00,1:02:27,"When doubt is mentioned under the hindrances, is it mainly referring to doubt about the Buddha’s teachings? Are there other implications?",,Doubt,Hindrances,Dhamma,,Everyday life,Mindfulness of mind,Investigation of states,Mindfulness of body,Suffering,Perfectionism,,,,,
4,,,0:00,4:23,"Realized beings abound these days. Care to comment? When the conditions are conducive and the inquiry is in earnest, is it possible to wake up quickly?",,Stages of awakening,Saṅgha,Progress of insight,Ardency,Patience,Ajahn Pasanno,,,,,,,,,
4,Extra tags,,,,,,Conditionality,,,,,,,,,,,,,,
4,Indirect quote,,,,Buddhism hasn't come to America yet.|Ajahn Chah,,Ajahn Chah,Culture/West,Insight Meditation Society,,,,,,,,,,,,
4,,,4:31,6:12,Which suttas describe path and fruit?,,Stages of awakening,Sutta,,,,,,,,,,,,,
4,Sutta,,,,MN 70: Kīṭāgiri Sutta,,,,,,,,,,,,,,,,
