Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,What Luang Por Chah Taught,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,Sunday2025-1,,,,,,,,,,,,,,,,,,
Series,Amaravati Sunday Talks,,,,,,,,,,,,,,,,,,
Venue,Amaravati Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,27/07/2025,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Short teaching,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Ajahn Chah,,,,,,,,,,,,,,,,,,
Website,https://amaravati.org/audio/what-luang-por-chah-taught/,,,,,,,,,,,,,,,,,,
Description,An hour-long talk about Ajahn Chah's teachings followed by questions and answers.,,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,23,,,,,,,,,,,,,,,,,,
Tags applied,157,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,1:39:49,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,27/07/2025,Sunday_Talks_2025_01_What_Luang_Por_Chah_Taught.mp3,1:39:49,AP,,https://cdn.amaravati.org/wp-content/uploads/2025/04/27/Sunday_Talks_2025_01_What_Luang_Por_Chah_Taught.mp3,23,Ajahn Chah,,,,5989,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,Other,,0:00,1:18,Background of the Amaravati Sunday Talks.,,Amaravati,Teaching Dhamma,,,Rains retreat,Ajahn Pasanno,Ajahn Chah,,,Yes,,,
0,Recollection,,1:40,2:34,Ajahn Chah was a memorable person; his influence has spread around the world.,,Ajahn Chah lineage,,,,Faith,Ajahn Sumedho,,,,,,,
0,Recollection,,2:36,6:39,My introduction to Ajahn Chah.,,Ajahn Pasanno,,,,Temporary ordination,Travel,Wat Phleng Vipassanā,Forest versus city monks,,,,,
0,Recollection,,6:42.5,11:05.5,Ajahn Chah's community in 1975.,,Ajahn Chah lineage,,,,Wat Pah Pong,Western Ajahn Chah lineage,Thai Ajahn Chah monasteries,Isan,Personal presence,,,Wat Pah Pong,170
0,Recollection,,11:10,13:56.5,"Ajahn Chah taught by example, but put the focus on the monastic training and community.",,Monastic life,Saṅgha,,,Humility,,,,,,,Personal presence,70
0,Quote,,,,He was unique in his ability to draw people in without it having to be about him.,,Ajahn Chah,Personal presence,Personality,,,,,,,,,,
0,Recollection,,14:09,18:26,Why I stayed with Ajahn Chah.,,Ajahn Pasanno,Determination,,,Family,Sequence of training,Equanimity,Personal presence,,,,,
0,Recollection,,18:36,26:19,He was always willing to push us beyond what we thought we could do.,,Fierce/direct teaching,,,,Intuition,,,,,,,,
0,Indirect quote,,,,"I hope you're not afraid of suffering....If you're afraid of suffering, you're not going to grow in wisdom here.|Ajahn Chah to Jack Kornfield",,Ajahn Chah,Jack Kornfield,Fear,Suffering,Discernment,,,,,,,,
0,Indirect quote,,,,"If you want to stay here, you have to stay at least five years.|Ajahn Chah to Ajahn Pasanno",,Ajahn Chah,Ajahn Pasanno,Sequence of training,Determination,,,,,,,,,
0,Story,,,,Ajahn Chah asks the young Ajahn Pasanno to become abbot of Wat Pah Nanachat.,,Ajahn Chah,Ajahn Pasanno,Wat Pah Nanachat,Abbot,Sickness,,,,,,,,
0,Reflection,,26:25,27:56,Amaravati and other monasteries are offshoots of Ajahn Chah's gift of monastic training where people can continue to practice.,,Monastic life,Ajahn Chah monasteries,,,,,,,,,,,
0,Recollection,,27:56,32:17,Ajahn Pasanno's first lunar observance night at Wat Pah Pong.,,Ajahn Pasanno,Wat Pah Pong,Lunar observance days,,Monastic life,Pace of life,Patience,,,,,,
0,Quote,,,,You learn as you go. You expand your ability to go beyond the limitations you set for yourself.,,Learning,,,,,,,,,,,,
0,Quote,,,,"The more you resist and complain in your mind, the more you suffer.",,Aversion,Suffering,Habits,,,,,,,,,,
0,Reflection,,32:28,39:30,Ajahn Chah used the Vinaya rules as a basis to train in mindfulness and clear comprehension.,,Vinaya,Mindfulness,Clear comprehension,,Volition,Perception of a samaṇa,Protocols,Sense restraint,Beauty,,,Protocols,105
0,Extra tags,,,,,,,,,,Faith,,,,,,,,
0,Story,,,,Ajahn Chah demonstrates how to put down a yahm (monk's shoulder bag).,,Ajahn Chah,Requisites,Ajahn Sumedho,Protocols,,,,,,,,,
0,Vinaya,,,,Kd 1.23: Sariputta gains faith from Venerable Assiji's demeanor.,,Great disciples,Faith,,,,,,,,,,,
0,Reflection,,39:51,42:13,on Ajahn Chah's ability to illustrate Dhamma.,,Teaching Dhamma,Similes,,,,,,,,,,,
0,Simile,,,,Suffering is like continually tightening a bolt.,,Suffering,Similes,,,,,,,,,,,
0,Reflection,,42:55,45:24.5,Ajahn Chah's compassion and empathy.,,Compassion,,,,,,,,,,,,
0,Indirect quote,,,,I've been like that.|Ajahn Chah,,Ajahn Chah,Ajahn Munindo,Suffering,,,,,,,,,,
0,Recollection,,45:49,53:37,Ajahn Chah enjoyed teasing people and playing with words.,,Humor,,,,Ajahn Gavesako,Ajahn Amaro,Ajahn Pasanno,Compassion,,,,,
0,Story,s,,,The Squirrel Story and the Donkey Story.,,Kittisaro,Ajahn Chah,Humor,Monastic life,Patience,,,,,,,,
0,Note,-,,,Kittisaro tells these stories himself [here](excerpt:Chah2001_S28_F04.mp3).,,,,,,,,,,,,,,
0,Cut audio,,50:39,50:58,,,,,,,,,,,,,,,
0,Reflection,,53:42,57:18.5,His leadership and his teaching came from his example.,,Leadership,Teaching Dhamma,,,Lunar observance days,Devotion to wakefulness,,,,,,,
0,Recollection,,,,Ajahn Chah sits until midnight despite having malaria.,,Ajahn Chah,Sickness,Lunar observance days,Posture/Sitting,Sitter's practice,,,,,,,,
0,,,58:50.5,1:04:26,"When you first arrived at Ajahn Chah's monastery, how did you communicate with him?",,Ajahn Pasanno,Language,,,Ajahn Sumedho,Translation,Paul Breiter,Thai,Isan,,,,
0,Story,,,,Venerable Varapañño could recite the Pāṭimokkha perfectly.,,Paul Breiter,Pāṭimokkha,,,,,,,,,,,
0,,,1:04:42,1:16:00,Can you tell us more about Ajahn Chah's background?,,,,,,Wat Pah Pong,Geography/Thailand,Education,Novices,Ordination,,,,
0,Extra tags,,,,,,,,,,Ajahn Sao,Forest versus city monks,Death,Ajahn Mun,Thai sects,,,,
0,Story,,,,Six-year-old Chah plays at being a monk. ,,Ajahn Chah,Monastic life,,,,,,,,,,,
0,,,1:16:09,1:23:30,Can you speak about Luang Por Chah's opinion about Thai superstitions and amulets?,,Culture/Thailand,Superstition,Amulets,,Humor,Ghost,Generosity,,,,,,
0,Story,,,,A young supporter drafted into the military asks Ajahn Chah for protection.,,Ajahn Chah,Superstition,Buddha images,Humor,,,,,,,,,
0,,,1:23:45,1:26:53,What gave you the inspiration and strength of spirit to want to dedicate yourself to follow the way?,,Ajahn Pasanno,Faith,Determination,,Suffering,Spiritual search,Culture/Thailand,Travel,Meditation/Results,Yes,,,
0,,,1:27:08.5,1:28:32,"In the draft of your biography, it says that growing up you felt you didn't fit in with normal society. When you came to a Buddhist country and the monastery, did it feel like home?",,Ajahn Pasanno,Culture/West,Culture/Thailand,Monastic life,Purpose/meaning,,,,,Yes,,,
0,,,1:28:39,1:32:36,"Nowadays we have so much information about Dhamma, whereas when you began, you talked about following an example. How much did being in the presence of someone like Ajahn Chah mean? Could we now overlook this since we have so much information?",,Dhamma online,Ajahn Pasanno,Mentoring,Personal presence,Amaravati,Aspects of Understanding,,,,,,,
0,,,1:32:55,1:38:28,"How did your becoming a monk go down with your family, and how did that affect you?",,Ajahn Pasanno,Monastic life,Family,,Ajahn Jayasaro,,,,,Yes,,,
0,,,1:38:54,1:39:46,People say that Westerners are much more individualistic than Asians. Do you think Ajahn Chah was good at understanding the Western way of thinking?,,Culture/West,Culture/Asia,,,,,,,,,,,