Modified:,2025,,,,,,,
uid,Name,Cite full name?,sutta,vinaya,readFaith,suttaCentral,singleRef,doubleRef
DN,Dīgha Nikāya,,Yes,,Yes,Yes,Yes,
MN,Majjhima Nikāya,,Yes,,Yes,Yes,Yes,
SN,Saṁyutta Nikāya,,Yes,,Yes,Yes,,Yes
AN,Aṅguttara Nikāya,,Yes,,Yes,Yes,,Yes
Kp,Khuddakapāṭha,,Yes,,Yes,Yes,,
Dhp,Dhammapada,,Yes,,Yes,Yes,,
Ud,Udāna,,Yes,,Yes,Yes,,
Iti,Itivuttaka,,Yes,,Yes,Yes,,
Snp,Sutta Nipāta,,Yes,,Yes,Yes,,
Vv,Vimānavatthu,,Yes,,Yes,Yes,,
Pv,Petavatthu,,Yes,,Yes,Yes,,
Thag,Theragātha,,Yes,,Yes,Yes,,
Thig,Therīgāthā,,Yes,,Yes,Yes,,
Ja,Jātaka,,Yes,,Yes,Yes,,
BuPj,Bhikkhu Pārājikā,Yes,,Yes,Yes,Yes,,
BuSs,Bhikkhu Saṅghādisesā,Yes,,Yes,Yes,Yes,,
BuAy,Bhikkhu Aniyatā,Yes,,Yes,Yes,Yes,,
BuNp,Bhikkhu Nissaggiyā-pācittiyā,Yes,,Yes,Yes,Yes,,
BuPc,Bhikkhu Pācittiyā,Yes,,Yes,Yes,Yes,,
BuPd,Bhikkhu Pāṭidesanīyā,Yes,,Yes,Yes,Yes,,
BuSk,Bhikkhu Sekhiyā,Yes,,Yes,Yes,Yes,,
BuAs,Bhikkhu Adhikarana-samatha,Yes,,Yes,Yes,Yes,,
BiPj,Bhikkhuni Pārājikā,Yes,,Yes,Yes,Yes,,
BiSs,Bhikkhuni Saṅghādisesā,Yes,,Yes,Yes,Yes,,
BiNp,Bhikkhuni Nissaggiyā-pācittiyā,Yes,,Yes,Yes,Yes,,
BiPc,Bhikkhuni Pācittiyā,Yes,,Yes,Yes,Yes,,
BiPd,Bhikkhuni Pāṭidesanīyā,Yes,,Yes,Yes,Yes,,
BiSk,Bhikkhuni Sekhiyā,Yes,,Yes,Yes,Yes,,
BiAs,Bhikkhuni Adhikarana-samatha,Yes,,Yes,Yes,Yes,,
Kd,Khandhakas,,,Yes,Yes,Yes,,
Pvr,Parivāra,,,Yes,Yes,Yes,,
Mv,Mahāvagga,,,Yes,,,,